data,cpi
2013-01,55.1
2013-02,55.5
2013-03,55.6
2013-04,55.9
2013-05,56.3
2013-06,57.6
2013-07,58.5
2013-08,59.2
2013-09,59.9
2013-10,60.5
2013-11,61.3
2013-12,60.3
2014-01,59.8
2014-02,59.8
2014-03,60.1
2014-04,60.6
2014-05,61.0
2014-06,61.5
2014-07,62.8
2014-08,63.4
2014-09,63.3
2014-10,63.3
2014-11,63.3
2014-12,62.9
2015-01,62.9
2015-02,63.0
2015-03,63.3
2015-04,63.6
2015-05,64.0
2015-06,64.8
2015-07,65.1
2015-08,65.7
2015-09,66.0
2015-10,66.4
2015-11,66.7
2015-12,66.4
2016-01,66.5
2016-02,66.4
2016-03,66.4
2016-04,67.0
2016-05,67.7
2016-06,68.5
2016-07,69.1
2016-08,69.1
2016-09,68.9
2016-10,69.2
2016-11,69.1
2016-12,68.7
2017-01,68.6
2017-02,68.8
2017-03,68.9
2017-04,69.1
2017-05,69.2
2017-06,69.5
2017-07,70.7
2017-08,71.3
2017-09,71.2
2017-10,71.7
2017-11,72.5
2017-12,72.3
2018-01,72.1
2018-02,71.8
2018-03,71.9
2018-04,72.2
2018-05,72.6
2018-06,72.9
2018-07,73.6
2018-08,73.9
2018-09,73.8
2018-10,74.1
2018-11,74.2
2018-12,73.8
2019-01,73.5
2019-02,73.7
2019-03,73.9
2019-04,74.4
2019-05,74.8
2019-06,75.3
2019-07,76.0
2019-08,76.4
2019-09,76.8
2019-10,77.5
2019-11,78.3
2019-12,79.2
2020-01,79.1
2020-02,78.5
2020-03,78.3
2020-04,79.7
2020-05,79.5
2020-06,80.0
2020-07,81.1
2020-08,81.5
2020-09,82.4
2020-10,83.4
2020-11,83.7
2020-12,82.8
2021-01,82.3
2021-02,82.5
2021-03,82.6
2021-04,83.1
2021-05,84.5
2021-06,85.0
2021-07,85.6
2021-08,85.8
2021-09,86.0
2021-10,87.2
2021-11,87.8
2021-12,87.5
2022-01,87.3
2022-02,87.5
2022-03,88.3
2022-04,89.6
2022-05,90.4
2022-06,90.9
2022-07,91.3
2022-08,91.8
2022-09,92.3
2022-10,93.1
2022-11,93.0
2022-12,92.5
2023-01,93.0
2023-02,93.1
2023-03,93.3
2023-04,93.8
2023-05,94.3
2023-06,95.3
2023-07,98.1
2023-08,98.1
2023-09,97.0
2023-10,97.6
2023-11,98.1
2023-12,97.8
2024-01,97.7
2024-02,97.9
2024-03,97.9
2024-04,98.3
2024-05,98.9
2024-06,100.2
2024-07,101.7
2024-08,101.7
2024-09,102.3
2024-10,103.7
2024-11,103.5
2024-12,102.9
2025-01,101.67
2025-02,101.32
2025-03,101.39
2025-04,101.58
2025-05,101.9
2025-06,102.51
2025-07,103.35
2025-08,103.74
2025-09,103.74
2025-10,103.74
2025-11,104.01
2025-12,104.1
2026-01,104.45
2026-02,104.57